RAPORT KLASYFIKACJI - SZCZEGÓŁOWY
======================================================================

METRYKI PER KLASA:
----------------------------------------------------------------------
Klasa                          Precision    Recall       F1-score     Support   
Niger                          1.0000       1.0000       1.0000       10        
Nigeria                        1.0000       1.0000       1.0000       10        
North Macedonia                1.0000       1.0000       1.0000       10        
Norway                         1.0000       1.0000       1.0000       10        
Oman                           1.0000       1.0000       1.0000       10        
Pakistan                       1.0000       1.0000       1.0000       10        
Palau                          1.0000       1.0000       1.0000       10        
Panama                         1.0000       1.0000       1.0000       10        
Papua New Guinea               1.0000       1.0000       1.0000       10        
Paraguay                       1.0000       1.0000       1.0000       10        
Peru                           1.0000       1.0000       1.0000       10        
Philippines                    1.0000       1.0000       1.0000       10        
Poland                         1.0000       1.0000       1.0000       10        
Portugal                       1.0000       1.0000       1.0000       10        
Qatar                          1.0000       1.0000       1.0000       10        
Romania                        0.5000       1.0000       0.6667       10        
Russia                         1.0000       1.0000       1.0000       10        
Rwanda                         1.0000       1.0000       1.0000       10        
Saint Kitts and Nevis          1.0000       1.0000       1.0000       10        
Saint Lucia                    1.0000       1.0000       1.0000       10        
Samoa                          1.0000       1.0000       1.0000       10        
San Marino                     1.0000       1.0000       1.0000       10        
Sao Tome and Principe          1.0000       1.0000       1.0000       10        
Saudi Arabia                   1.0000       1.0000       1.0000       10        
Senegal                        1.0000       1.0000       1.0000       10        
Serbia                         1.0000       1.0000       1.0000       10        
Seychelles                     1.0000       1.0000       1.0000       10        
Sierra Leone                   1.0000       1.0000       1.0000       10        
Singapore                      1.0000       1.0000       1.0000       10        
Slovakia                       1.0000       1.0000       1.0000       10        
Slovenia                       1.0000       1.0000       1.0000       10        
Solomon Islands                1.0000       1.0000       1.0000       10        
Somalia                        1.0000       1.0000       1.0000       10        
South Africa                   1.0000       1.0000       1.0000       10        
South Korea                    1.0000       1.0000       1.0000       10        
South Sudan                    1.0000       1.0000       1.0000       10        
Spain                          1.0000       1.0000       1.0000       10        
Sri Lanka                      1.0000       1.0000       1.0000       10        
St. Vincent Grenadines         1.0000       1.0000       1.0000       10        
State of Palestine             1.0000       1.0000       1.0000       10        
Sudan                          1.0000       1.0000       1.0000       10        
Suriname                       1.0000       1.0000       1.0000       10        
Sweden                         1.0000       1.0000       1.0000       10        
Switzerland                    1.0000       1.0000       1.0000       10        
Syria                          1.0000       1.0000       1.0000       10        
Tajikistan                     1.0000       1.0000       1.0000       10        
Tanzania                       1.0000       1.0000       1.0000       10        
Thailand                       1.0000       1.0000       1.0000       10        
Timor-Leste                    1.0000       1.0000       1.0000       10        
Togo                           1.0000       1.0000       1.0000       10        
Tonga                          1.0000       1.0000       1.0000       10        
Trinidad and Tobago            1.0000       1.0000       1.0000       10        
Tunisia                        1.0000       1.0000       1.0000       10        
Turkey                         1.0000       1.0000       1.0000       10        
Turkmenistan                   1.0000       1.0000       1.0000       10        
Tuvalu                         1.0000       1.0000       1.0000       10        
U.A.E                          1.0000       1.0000       1.0000       10        
U.K                            1.0000       1.0000       1.0000       10        
U.S                            1.0000       1.0000       1.0000       10        
Uganda                         1.0000       1.0000       1.0000       10        
Ukraine                        1.0000       1.0000       1.0000       10        
Uruguay                        1.0000       1.0000       1.0000       10        
Uzbekistan                     1.0000       1.0000       1.0000       10        
Vanuatu                        1.0000       1.0000       1.0000       10        
Venezuela                      1.0000       1.0000       1.0000       10        
Vietnam                        1.0000       1.0000       1.0000       10        
Yemen                          1.0000       1.0000       1.0000       10        
Zambia                         1.0000       1.0000       1.0000       10        
Zimbabwe                       1.0000       1.0000       1.0000       10        

----------------------------------------------------------------------
METRYKI OGÓLNE:
----------------------------------------------------------------------
Accuracy:           0.9385
Macro avg Precision: 0.9359
Macro avg Recall:    0.9385
Macro avg F1-score:  0.9368
Weighted avg Precision: 0.9359
Weighted avg Recall:    0.9385
Weighted avg F1-score:  0.9368
